UNIX timestamp,UTC time,Receiver Warning,Latitude NMEA,Indicator Latitude NMEA,Longitude NMEA,Indicator Longitude NMEA,Speed [Knots],True Course,UT date,Magnetic Variation Degrees,Indicator Magnetic Variation Degrees
1701185193178518098,152633.14,A,5225.341293,N,00937.080424,E,19.224,170.41,281123,3.82,E
1701185193278557185,152633.24,A,5225.340770,N,00937.080568,E,19.005,170.55,281123,3.82,E
1701185193378467366,152633.34,A,5225.340252,N,00937.080709,E,18.783,170.65,281123,3.82,E
1701185193479131481,152633.44,A,5225.339733,N,00937.080846,E,18.576,170.74,281123,3.82,E
1701185193579103222,152633.54,A,5225.339227,N,00937.080981,E,18.357,170.87,281123,3.82,E
1701185193679181251,152633.64,A,5225.338727,N,00937.081109,E,18.145,171.01,281123,3.82,E
1701185193779112598,152633.74,A,5225.338231,N,00937.081236,E,17.935,171.18,281123,3.82,E
1701185193879085852,152633.84,A,5225.337742,N,00937.081360,E,17.740,171.32,281123,3.82,E
1701185193979098867,152633.94,A,5225.337254,N,00937.081480,E,17.555,171.51,281123,3.82,E
1701185194079146765,152634.04,A,5225.336775,N,00937.081596,E,17.326,171.68,281123,3.82,E
1701185194178551785,152634.14,A,5225.336304,N,00937.081700,E,17.063,171.94,281123,3.82,E
1701185194278588740,152634.24,A,5225.335838,N,00937.081808,E,16.800,172.05,281123,3.82,E
1701185194378478930,152634.34,A,5225.335379,N,00937.081912,E,16.561,172.18,281123,3.82,E
1701185194478651672,152634.44,A,5225.334922,N,00937.082017,E,16.337,172.37,281123,3.82,E
1701185194578464146,152634.54,A,5225.334475,N,00937.082114,E,16.101,172.45,281123,3.82,E
1701185194678600104,152634.64,A,5225.334043,N,00937.082217,E,15.853,172.73,281123,3.82,E
1701185194778694728,152634.74,A,5225.333609,N,00937.082306,E,15.610,173.05,281123,3.82,E
1701185194878454546,152634.84,A,5225.333182,N,00937.082390,E,15.381,173.33,281123,3.82,E
1701185194978535385,152634.94,A,5225.332772,N,00937.082473,E,15.137,173.55,281123,3.82,E
1701185195078475505,152635.04,A,5225.332357,N,00937.082549,E,14.908,173.65,281123,3.82,E
1701185195178450558,152635.14,A,5225.331951,N,00937.082617,E,14.681,173.84,281123,3.82,E
1701185195278456867,152635.24,A,5225.331549,N,00937.082688,E,14.447,174.00,281123,3.82,E
1701185195378459425,152635.34,A,5225.331153,N,00937.082755,E,14.217,174.10,281123,3.82,E
1701185195478458668,152635.44,A,5225.330771,N,00937.082820,E,13.983,174.19,281123,3.82,E
1701185195578454437,152635.54,A,5225.330387,N,00937.082884,E,13.749,174.31,281123,3.82,E
1701185195678459796,152635.64,A,5225.330016,N,00937.082940,E,13.526,174.43,281123,3.82,E
1701185195778454121,152635.74,A,5225.329645,N,00937.082999,E,13.312,174.56,281123,3.82,E
1701185195878467788,152635.84,A,5225.329280,N,00937.083055,E,13.100,174.62,281123,3.82,E
1701185195978519265,152635.94,A,5225.328930,N,00937.083107,E,12.891,174.68,281123,3.82,E
1701185196078485499,152636.04,A,5225.328576,N,00937.083160,E,12.697,174.83,281123,3.82,E
1701185196178550443,152636.14,A,5225.328238,N,00937.083207,E,12.495,174.93,281123,3.82,E
1701185196278530730,152636.24,A,5225.327895,N,00937.083257,E,12.310,174.91,281123,3.82,E
1701185196378507874,152636.34,A,5225.327556,N,00937.083307,E,12.129,174.92,281123,3.82,E
1701185196478660002,152636.44,A,5225.327234,N,00937.083348,E,11.937,174.96,281123,3.82,E
1701185196578501781,152636.54,A,5225.326906,N,00937.083394,E,11.754,175.11,281123,3.82,E
1701185196678587616,152636.64,A,5225.326595,N,00937.083438,E,11.566,175.14,281123,3.82,E
1701185196778463628,152636.74,A,5225.326277,N,00937.083482,E,11.383,175.15,281123,3.82,E
1701185196878453173,152636.84,A,5225.325964,N,00937.083525,E,11.200,175.15,281123,3.82,E
1701185196978415703,152636.94,A,5225.325669,N,00937.083564,E,11.009,175.21,281123,3.82,E
