UNIX timestamp,a_x,a_y,a_z,p_roll,p_pitch,p_yaw
1701628190959064407,0.0410,0.2216,9.6580,-0.0018,-0.0016,0.0055
1701628191058889425,0.0213,0.2764,9.9067,0.0048,0.0049,0.0019
1701628191159463959,-0.0161,0.2439,9.7528,-0.0020,-0.0000,-0.0016
1701628191258981266,0.0827,0.3172,9.9363,0.0009,0.0001,0.0019
1701628191359026822,-0.0095,0.3028,9.7376,-0.0049,-0.0025,0.0011
1701628191458878454,0.0016,0.2609,9.8771,0.0018,0.0001,0.0030
1701628191558297470,0.0851,0.2332,9.6525,-0.0017,-0.0025,0.0002
1701628191659391173,-0.0869,0.3109,9.9424,0.0038,0.0013,0.0023
1701628191759223570,0.1761,0.1915,9.6872,-0.0008,0.0008,0.0037
1701628191859112870,-0.1626,0.3319,9.8757,0.0024,-0.0001,-0.0013
1701628191959733297,0.2205,0.2058,9.7040,0.0031,0.0014,0.0008
1701628192058682371,-0.1308,0.3097,9.9259,-0.0012,0.0012,0.0039
1701628192159093757,0.1854,0.2193,9.7137,0.0011,-0.0000,-0.0007
1701628192259108270,-0.1429,0.2606,9.9406,-0.0028,-0.0015,0.0031
1701628192358811889,0.1695,0.2398,9.7744,0.0066,0.0026,0.0010
1701628192459631348,-0.0830,0.3039,9.8909,0.0010,-0.0008,0.0021
1701628192559368529,0.0939,0.2451,9.8470,0.0020,-0.0015,0.0020
1701628192659214635,-0.0400,0.2527,9.7131,0.0019,0.0008,0.0031
1701628192759140108,0.0664,0.2771,9.9602,0.0041,0.0013,0.0012
1701628192858860794,0.0213,0.2652,9.7030,-0.0013,-0.0037,0.0025
1701628192958816659,0.0220,0.2888,9.9508,0.0046,0.0029,-0.0020
1701628193059398869,0.0138,0.2356,9.6677,0.0001,-0.0004,0.0037
1701628193159013061,0.0013,0.2690,9.9964,0.0033,-0.0001,-0.0013
1701628193259088105,0.0605,0.2121,9.7031,0.0005,-0.0020,-0.0008
1701628193358922948,-0.0495,0.3191,9.8841,0.0028,0.0016,0.0029
1701628193458735440,0.0677,0.1861,9.6855,0.0003,0.0008,0.0018
1701628193559499064,-0.0497,0.2836,9.9558,0.0023,0.0019,0.0029
1701628193659195155,0.0834,0.1967,9.6971,0.0007,-0.0020,0.0014
1701628193759136398,-0.0834,0.3160,9.9365,0.0018,-0.0007,-0.0008
1701628193858925164,0.1067,0.2227,9.6322,-0.0037,0.0016,0.0012
1701628193958652558,-0.0682,0.2899,9.9655,0.0030,0.0036,0.0054
1701628194059344605,0.0987,0.2059,9.6600,-0.0004,-0.0038,0.0001
1701628194159024795,-0.1119,0.3156,9.9198,0.0017,0.0023,0.0019
1701628194258975551,0.1044,0.2195,9.6153,-0.0005,0.0027,0.0020
1701628194358980930,0.2687,0.2461,9.9437,-0.0041,-0.0050,-0.0006
1701628194458784441,0.5035,0.3316,9.5684,0.0008,-0.0052,0.0009
1701628194559438778,0.7212,0.3046,9.6858,0.0028,-0.0109,0.0036
1701628194659190947,0.7398,0.2427,9.5369,-0.0051,-0.0127,0.0005
1701628194758993910,0.7444,0.2240,9.5265,-0.0022,-0.0107,-0.0006
1701628194858895382,0.7796,0.2542,9.3799,0.0070,-0.0017,-0.0004
1701628194958755782,0.6568,0.1972,9.7668,0.0037,0.0100,0.0006
1701628195059206197,0.4126,0.2158,9.9686,0.0020,-0.0023,-0.0023
1701628195159141328,0.1444,0.3060,9.7072,0.0004,-0.0067,0.0024
1701628195259018857,0.0835,0.3174,9.5099,0.0027,-0.0071,-0.0005
1701628195358922248,0.1328,0.1937,9.4901,0.0033,0.0059,-0.0014
1701628195458705925,0.0946,0.1853,9.8489,0.0071,0.0118,0.0043
1701628195559287372,0.0792,0.1974,10.0106,0.0054,0.0090,0.0020
1701628195659161085,0.0287,0.3003,10.2284,0.0062,0.0064,-0.0020
1701628195759055894,0.0158,0.2962,10.2601,0.0047,0.0066,0.0038
1701628195858882349,0.0381,0.2892,10.6162,0.0026,0.0019,0.0038
1701628195958776658,0.0535,0.3842,10.3295,-0.0003,-0.0032,-0.0026
1701628196059331791,0.0996,0.3885,10.2519,0.0003,-0.0113,0.0016
1701628196159180199,0.1400,0.3297,9.9244,-0.0008,-0.0131,-0.0007
1701628196259095292,0.1351,0.2962,9.7537,-0.0025,-0.0177,0.0018
1701628196358869009,0.0846,0.3313,9.5319,0.0001,-0.0100,-0.0004
1701628196458720155,0.1089,0.2883,9.2775,-0.0001,-0.0018,0.0005
1701628196559393791,0.0943,0.1866,9.2634,0.0054,0.0030,-0.0011
1701628196659111843,0.1069,0.2008,9.4908,0.0046,0.0104,0.0016
1701628196759072963,0.2489,0.2234,9.9707,0.0040,0.0138,0.0009
1701628196858957616,0.4045,0.2182,10.1781,0.0059,0.0025,0.0004
1701628196959110378,0.4857,0.2753,10.4231,-0.0001,-0.0020,0.0021
1701628197059724103,0.4969,0.3398,9.8697,-0.0018,-0.0090,0.0006
1701628197159486523,0.1759,0.3989,9.8146,0.0020,-0.0029,-0.0004
1701628197259052101,0.0974,0.2664,9.5180,0.0036,0.0127,0.0000
1701628197358879547,-0.1943,0.2392,10.0295,0.0011,0.0104,0.0016
1701628197458726872,-0.2727,0.2682,9.7449,0.0028,0.0034,0.0005
1701628197559651783,-0.2106,0.3206,9.6224,0.0059,0.0061,-0.0009
1701628197659593943,-0.3208,0.1922,10.1503,-0.0014,-0.0017,0.0006
1701628197759061123,0.2701,0.2990,9.3767,-0.0009,-0.0043,0.0023
1701628197858959172,0.3193,0.3262,9.8485,0.0009,0.0065,0.0042
1701628197958828941,0.1466,0.1228,9.9558,-0.0018,0.0007,0.0018
1701628198058936927,0.3679,0.2989,9.6361,0.0017,-0.0044,0.0002
1701628198159131086,0.6177,0.3411,9.6051,0.0040,0.0074,0.0026
1701628198258925321,0.6050,0.3111,10.1753,-0.0007,-0.0020,-0.0004
1701628198358845292,0.6834,0.2432,10.3759,0.0007,-0.0108,-0.0030
1701628198458828921,0.7147,0.4048,9.8220,-0.0007,-0.0114,-0.0015
1701628198559300524,0.7100,0.2599,10.0178,-0.0006,-0.0097,0.0025
1701628198659253791,0.6897,0.4227,9.3734,-0.0028,-0.0114,0.0011
